group,poolsize,lookdepth,lookwidth,avesol,avetime,,,,
1,20,3,20,29.1,8.00E-04,,,,
2,20,3,20,36,0,,,H=5,H=8
3,20,3,20,29.1,0.02345,,d=0.6,,
4,20,3,20,36,0,,d=0.8,,
5,20,3,20,41.35,4.3415,,,,
6,20,3,20,50.15,12.6582,,,,
7,20,3,20,43.05,10.55405,,,,
8,20,3,20,51.15,18.5527,,,,
9,20,3,20,50.4,7.7526,,,,
10,20,3,20,58.75,3.35375,,,,
11,20,3,20,51.15,8.73995,,,,
12,20,3,20,58.65,3.8849,,,,
13,20,3,20,75.4,204.2599,,,,
14,20,3,20,93.1,357.8544,,,,
15,20,3,20,78.7,212.23945,,,,
16,20,3,20,93.55,331.9909,,,,
17,20,3,20,36.25,0.0094,,,,
18,20,3,20,45,0,,,,
19,20,3,20,36.45,0.00545,,,,
20,20,3,20,45,7.50E-04,,,,
21,20,3,20,51.55,24.4301,,,,
22,20,3,20,61.8,16.8713,,,,
23,20,3,20,50.95,16.7064,,,,
24,20,3,20,62.05,28.70425,,,,
25,20,3,20,61.5,14.3908,,,,
26,20,3,20,72.35,2.73745,,,,
27,20,3,20,61.85,18.24095,,,,
28,20,3,20,72.65,6.56495,,,,
29,20,3,20,92.05,477.5513,,,,
30,20,3,20,110.25,713.7733,,,,
31,20,3,20,93.95,529.94955,,,,
32,20,3,20,111.8,778.4938,,,,
