行标签,平均值项:Move,平均值项:Time,
1,30.2,6,29.15
2,37.1,8.5,36
3,31.2,4.5,29.35
4,37.5,8.55,36.15
5,47.95,9.5,46.3
6,56.4,13.5,55.5
7,50.95,11,49.95
8,58.55,18,57.6
9,59.55,18,56.3
10,65.55,21.5,61.55
11,61.5,15.5,55
12,68.15,22,61.45
13,90.95,34,96.5
14,106.8,44,116.05
15,96.3,36,99.45
16,112.1,51.5,115.45
17,39,9.5,36.5
18,46.35,15,45.2
19,39.9,7.5,36.75
20,47,13.1,45.1
21,60.35,18.6,56.55
22,70.5,25.55,65.55
23,61.65,18,55.25
24,72.65,27,68
25,73.3,28,66
26,81.1,36.5,75.75
27,73.35,26,65.65
28,83.55,38.5,76.5
29,113.2,59,115.85
30,128.75,88.5,129.6
31,116.9,54.5,115.85
32,133.2,89,134.1
总计,70.359375,27.384375,
